"query","log2Enr","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","highlighted"
"query_1",1.032831479673,TRUE,0.0030723723201391,701,295,58,0.196610169491525,0.0827389443651926,"GO:0007010","GO:BP","cytoskeleton organization",7295,2653,"GO:0006996",TRUE
"query_1",0.972455626491692,TRUE,0.000224811372950753,920,295,73,0.247457627118644,0.0793478260869565,"GO:0097708","GO:CC","intracellular vesicle",7295,3137,"GO:0031982, GO:0043231",FALSE
"query_1",0.965597634541241,TRUE,6.57527923247758e-06,1089,295,86,0.291525423728814,0.0789715335169881,"GO:0051649","GO:BP","establishment of localization in cell",7295,14317,"GO:0051234, GO:0051641",FALSE
"query_1",0.955695776584554,TRUE,0.000492680795490777,918,295,72,0.24406779661017,0.0784313725490196,"GO:0031410","GO:CC","cytoplasmic vesicle",7295,1106,"GO:0005737, GO:0097708",FALSE
"query_1",0.952556069053987,TRUE,0.00589415259444249,805,295,63,0.213559322033898,0.0782608695652174,"GO:0015031","GO:BP","protein transport",7295,4854,"GO:0045184, GO:0071702, GO:0071705",FALSE
"query_1",0.918759324725652,TRUE,0.017788947760171,811,295,62,0.210169491525424,0.0764488286066584,"GO:0046907","GO:BP","intracellular transport",7295,12847,"GO:0006810, GO:0051641, GO:0051649",FALSE
"query_1",0.914180965488567,TRUE,1.40515063779946e-05,1181,295,90,0.305084745762712,0.0762066045723963,"GO:0048468","GO:BP","cell development",7295,13194,"GO:0030154, GO:0048856, GO:0048869",FALSE
"query_1",0.912311138375272,TRUE,0.000292435599615946,1038,295,79,0.267796610169492,0.0761078998073218,"GO:0009653","GO:BP","anatomical structure morphogenesis",7295,3608,"GO:0032502, GO:0048856",FALSE
"query_1",0.889035472515474,TRUE,1.31388717225943e-06,1362,295,102,0.345762711864407,0.0748898678414097,"GO:0008104","GO:BP","protein localization",7295,3157,"GO:0070727",FALSE
"query_1",0.882166741162589,TRUE,1.65449131725382e-10,1771,295,132,0.447457627118644,0.0745341614906832,"GO:0051641","GO:BP","cellular localization",7295,14309,"GO:0009987, GO:0051179",TRUE
"query_1",0.880586282679656,TRUE,1.88536139609006e-06,1370,295,102,0.345762711864407,0.0744525547445255,"GO:0070727","GO:BP","cellular macromolecule localization",7295,16772,"GO:0033036, GO:0051641",FALSE
"query_1",0.866789079605328,TRUE,6.27200892125835e-05,1234,295,91,0.308474576271186,0.0737439222042139,"GO:0051128","GO:BP","regulation of cellular component organization",7295,13953,"GO:0016043, GO:0050794",FALSE
"query_1",0.842139847291012,TRUE,0.0312006376389484,938,295,68,0.230508474576271,0.0724946695095949,"GO:0045184","GO:BP","establishment of protein localization",7295,11702,"GO:0008104, GO:0051234",FALSE
"query_1",0.833888323716993,TRUE,0.0202446101385295,985,295,71,0.240677966101695,0.0720812182741117,"GO:0071705","GO:BP","nitrogen compound transport",7295,17375,"GO:0006810",FALSE
"query_1",0.829677250405842,TRUE,3.79941969062612e-07,1614,295,116,0.393220338983051,0.0718711276332094,"GO:0071944","GO:CC","cell periphery",7295,2793,"GO:0110165",FALSE
"query_1",0.815256215106167,TRUE,2.21533359925432e-06,1574,295,112,0.379661016949153,0.071156289707751,"GO:0048731","GO:BP","system development",7295,13413,"GO:0007275, GO:0048856",FALSE
"query_1",0.815228012957015,TRUE,1.42819954640701e-08,1827,295,130,0.440677966101695,0.0711548987411056,"GO:0006810","GO:BP","transport",7295,2519,"GO:0051234",FALSE
"query_1",0.806256905171389,TRUE,1.54088619647272e-05,1499,295,106,0.359322033898305,0.0707138092061374,"GO:0005886","GO:CC","plasma membrane",7295,422,"GO:0016020, GO:0071944",FALSE
"query_1",0.783886130797299,TRUE,0.012560727090702,1149,295,80,0.271186440677966,0.0696257615317667,"GO:0065008","GO:BP","regulation of biological quality",7295,16385,"GO:0065007",FALSE
"query_1",0.77619698216546,TRUE,4.29513223510426e-05,1545,295,107,0.36271186440678,0.0692556634304207,"GO:0033036","GO:BP","macromolecule localization",7295,8276,"GO:0051179",FALSE
"query_1",0.772568903532227,TRUE,0.0117432966617687,1187,295,82,0.277966101694915,0.0690817186183656,"GO:0019899","GO:MF","enzyme binding",7295,3728,"GO:0005515",FALSE
"query_1",0.746993619012613,TRUE,3.69036637283193e-05,1665,295,113,0.383050847457627,0.0678678678678679,"GO:0030154","GO:BP","cell differentiation",7295,6924,"GO:0048869",FALSE
"query_1",0.74612739560569,TRUE,3.83344630224228e-05,1666,295,113,0.383050847457627,0.0678271308523409,"GO:0048869","GO:BP","cellular developmental process",7295,13537,"GO:0009987, GO:0032502",FALSE
"query_1",0.74365441196631,TRUE,2.37606238620941e-07,1979,295,134,0.454237288135593,0.067710965133906,"GO:0051234","GO:BP","establishment of localization",7295,14032,"GO:0051179",FALSE
"query_1",0.715955580906857,TRUE,0.012094996378263,1370,295,91,0.308474576271186,0.0664233576642336,"GO:0022607","GO:BP","cellular component assembly",7295,6852,"GO:0016043, GO:0044085",FALSE
"query_1",0.693125185267177,TRUE,5.53667701883781e-05,1866,295,122,0.413559322033898,0.0653804930332262,"GO:0007275","GO:BP","multicellular organism development",7295,2835,"GO:0032501, GO:0048856",FALSE
"query_1",0.691793136594286,TRUE,3.8912705764346e-08,2327,295,152,0.515254237288136,0.0653201547056296,"GO:0051179","GO:BP","localization",7295,14002,"GO:0008150",FALSE
"query_1",0.592261069199482,TRUE,2.90641325539982e-05,2444,295,149,0.505084745762712,0.0609656301145663,"GO:0032502","GO:BP","developmental process",7295,7884,"GO:0008150",FALSE
"query_1",0.578948276574348,TRUE,0.000620404191941637,2268,295,137,0.464406779661017,0.0604056437389771,"GO:0048856","GO:BP","anatomical structure development",7295,13525,"GO:0032502",FALSE
"query_1",0.574328301195347,TRUE,3.45381673216947e-05,2541,295,153,0.51864406779661,0.0602125147579693,"GO:0032501","GO:BP","multicellular organismal process",7295,7883,"GO:0008150",FALSE
"query_1",0.565218548726675,TRUE,0.0437104426350389,1922,295,115,0.389830508474576,0.0598335067637877,"GO:0012505","GO:CC","endomembrane system",7295,687,"GO:0110165",FALSE
"query_1",0.530567779598884,TRUE,3.5024337126983e-06,3013,295,176,0.596610169491525,0.0584135413209426,"GO:0016043","GO:BP","cellular component organization",7295,5137,"GO:0071840",FALSE
"query_1",0.481937204166467,TRUE,7.13396893499659e-05,3134,295,177,0.6,0.0564773452456924,"GO:0071840","GO:BP","cellular component organization or biogenesis",7295,17446,"GO:0009987",FALSE
"query_1",0.445669019237574,TRUE,0.00170330407000788,3123,295,172,0.583050847457627,0.0550752481588216,"GO:0016020","GO:CC","membrane",7295,720,"GO:0110165",FALSE
